食物,别名,特征,分类,Wiki百科,热量(千卡),硫胺素(毫克),钙(毫克),蛋白质(克),核黄素(毫克),镁(毫克),脂肪(克),烟酸(毫克),铁(毫克),碳水化合物(克),维生素C(毫克),锰(毫克),膳食纤维(克),维生素E(毫克),锌(毫克),维生素A(微克),胆固醇(毫克),铜(毫克),胡罗卜素(微克),钾(毫克),磷(毫克),视黄醇当量(微克),钠(毫克),硒(微克),备注
曲拉,Empty,Empty,乳类,http://www.foodbk.com/wiki/%E6%9B%B2%E6%8B%89,356.0,0.07,1217.0,39.1,0.16,143.0,2.9,0.1,5.8,43.4,0.0,0.09,0.0,0.54,3.09,216.0,0.0,0.1,6.4,166.0,1135.0,8.2,285.2,2.21,Empty
全脂软酪,Empty,Empty,乳类,http://www.foodbk.com/wiki/%E5%85%A8%E8%84%82%E8%BD%AF%E9%85%AA,313.0,0.03,110.0,8.6,0.17,9.0,31.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.7,0.0,90.0,0.1,0.0,150.0,130.0,58.0,330.0,3.0,Empty
酸酪蛋,Empty,Empty,乳类,http://www.foodbk.com/wiki/%E9%85%B8%E9%85%AA%E8%9B%8B,443.0,0.05,756.0,40.4,0.44,47.0,20.4,1.0,20.6,24.4,0.0,0.3,0.0,0.0,3.02,0.0,120.0,1.04,3.6,512.0,682.0,11.2,130.8,10.93,Empty
羊乳酪,Empty,Empty,乳类,http://www.foodbk.com/wiki/%E7%BE%8A%E4%B9%B3%E9%85%AA,250.0,0.04,360.0,15.6,0.21,20.0,20.2,0.2,0.2,1.5,0.0,0.0,0.0,0.37,0.9,226.0,70.0,0.07,0.0,95.0,280.0,56.5,1440.0,0.0,Empty
中脂软酪,Empty,Empty,乳类,http://www.foodbk.com/wiki/%E4%B8%AD%E8%84%82%E8%BD%AF%E9%85%AA,179.0,0.0,0.0,9.2,0.0,0.0,14.5,0.0,0.0,3.1,0.0,0.0,0.0,0.78,0.0,224.0,42.0,0.0,0.0,0.0,0.0,69.5,0.0,3.0,Empty
奶油,Empty,Empty,乳类,http://www.foodbk.com/wiki/%E5%A5%B6%E6%B2%B9,879.0,0.0,14.0,0.7,0.01,2.0,97.0,0.0,1.0,0.9,0.0,0.0,0.0,1.99,0.09,297.0,209.0,0.42,0.7,226.0,11.0,0.7,268.0,0.7,Empty
奶油,Empty,焦克,乳类,http://www.foodbk.com/wiki/%E5%A5%B6%E6%B2%B9,447.0,0.05,202.0,3.0,0.16,10.0,48.3,0.2,1.0,0.0,0.0,0.1,0.0,0.0,0.32,0.0,92.0,0.02,0.6,138.0,82.0,48.1,41.1,5.5,Empty
奶油,Empty,食品工业,乳类,http://www.foodbk.com/wiki/%E5%A5%B6%E6%B2%B9,504.0,0.01,20.0,1.1,0.16,2.0,55.5,0.1,0.1,0.0,0.0,0.83,0.0,2.19,1.1,345.0,103.0,0.03,0.3,1064.0,32.0,43.4,190.8,0.94,Empty
黄油,Empty,Empty,乳类,http://www.foodbk.com/wiki/%E9%BB%84%E6%B2%B9,888.0,0.0,35.0,1.4,0.02,7.0,98.0,0.0,0.8,0.0,0.0,0.05,0.0,0.0,0.11,0.0,296.0,0.01,0.1,39.0,8.0,0.5,40.3,1.6,Empty
黄油渣,Empty,Empty,乳类,http://www.foodbk.com/wiki/%E9%BB%84%E6%B2%B9%E6%B8%A3,599.0,0.03,597.0,11.1,0.47,97.0,43.8,0.4,2.6,40.0,0.0,1.18,0.0,0.0,1.17,0.0,150.0,0.11,0.4,160.0,288.0,4.7,60.2,1.1,Empty
